       Quick Sort                                     BubbleSort                                 BST
n      av               av/n      av/n*n  av/nlog(n)  av          av/n       av/n*n  av/nlog(n)  av          av/n     av/n*n  av/nlog(n)  

1000   10849.93331000   10.8499   0.0108   1.0887   498484.3333   498.4843   0.4985   50.0196   11005.9333   11.0059   0.0110   1.1044
1100   12093.96671100   10.9945   0.0100   1.0882   603539.8667   548.6726   0.4988   54.3063   12166.3667   11.0603   0.0101   1.0947
1200   13806.80001200   11.5057   0.0096   1.1248   718075.0667   598.3959   0.4987   58.5010   13609.4000   11.3412   0.0095   1.1087
1300   14789.43331300   11.3765   0.0088   1.0998   843156.8000   648.5822   0.4989   62.6995   14871.5000   11.4396   0.0088   1.1059
1400   16341.26671400   11.6723   0.0083   1.1168   978256.8333   698.7549   0.4991   66.8587   16492.8667   11.7806   0.0084   1.1272
1500   17581.83331500   11.7212   0.0078   1.1109   1122848.4000   748.5656   0.4990   70.9491   17868.8667   11.9126   0.0079   1.1291
1600   19008.63331600   11.8804   0.0074   1.1162   1277850.1667   798.6564   0.4992   75.0345   18906.6000   11.8166   0.0074   1.1102
1700   20356.33331700   11.9743   0.0070   1.1158   1442801.5667   848.7068   0.4992   79.0869   20352.3667   11.9720   0.0070   1.1156
1800   22250.73331800   12.3615   0.0069   1.1431   1617760.3333   898.7557   0.4993   83.1121   21701.1667   12.0562   0.0067   1.1149
1900   23008.50001900   12.1097   0.0064   1.1118   1802264.0667   948.5600   0.4992   87.0895   23220.4667   12.2213   0.0064   1.1221
2000   24652.80002000   12.3264   0.0062   1.1241   1997555.6333   998.7778   0.4994   91.0813   24547.6667   12.2738   0.0061   1.1193
2100   26049.83332100   12.4047   0.0059   1.1240   2202464.8333   1048.7928   0.4994   95.0323   26395.4667   12.5693   0.0060   1.1389
2200   27198.03332200   12.3627   0.0056   1.1134   2417427.7667   1098.8308   0.4995   98.9645   27343.0667   12.4287   0.0056   1.1194
2300   29392.20002300   12.7792   0.0056   1.1443   2641491.1000   1148.4744   0.4993   102.8415   29023.3333   12.6188   0.0055   1.1300
2400   30260.83332400   12.6087   0.0053   1.1229   2877213.1000   1198.8388   0.4995   106.7645   29918.7333   12.4661   0.0052   1.1102
2500   31740.93332500   12.6964   0.0051   1.1248    3120839.2333   1248.3357   0.4993   110.5924   32109.0000   12.8436   0.0051   1.1378
2600   33228.20002600   12.7801   0.0049   1.1266   3376203.7333   1298.5399   0.4994   114.4663   33194.8000   12.7672   0.0049   1.1254
2700   34668.80002700   12.8403   0.0048   1.1265   3641259.4333   1348.6146   0.4995   118.3126   35080.8000   12.9929   0.0048   1.1399
2800   36413.20002800   13.0047   0.0046   1.1357   3916454.5333   1398.7338   0.4995   122.1472   36793.0667   13.1404   0.0047   1.1475
